component,link,mass_kg,cad_mass_kg,cad_density_kg_m3,material,mass_override,cad_mass_override,inertia_scale,com_source,inertia_source,mass_source
Body-1/Motor_HTDW3532-1,base_link,0.15,0.11414916694039093,2700.0,"['6061 合金', 'solidworks materials']",True,False,1.314070036782051,CAD,estimated: CAD inertia scaled by mass ratio,motor_parameters.json: user parameter image
Body-1/Body_Frame-2,base_link,0.13050781347395807,0.13050781347395807,1020.0,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Body-1/IMU_YB-MRA02-1,base_link,0.0,0.0,0.0,"['聚脂树脂', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Body-1/Control_Borad_AT32-1,base_link,0.007232666071029665,0.007232666071029665,1160.0,"['聚脂树脂', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Body-1/Motor_HTDW3532-2,base_link,0.15,0.11414916694039093,2700.0,"['6061 合金', 'solidworks materials']",True,False,1.314070036782051,CAD,estimated: CAD inertia scaled by mass ratio,motor_parameters.json: user parameter image
Body-1/Battery_6s18650_24V-1,base_link,0.23089975563519718,0.23089975563519718,1099.9999999999998,"['环氧树脂,未充填', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Left_hip_yaw-1/Motor_HTDW3532-1,left_hip_yaw_link,0.15,0.11414916694039093,2700.0,"['6061 合金', 'solidworks materials']",True,False,1.314070036782051,CAD,estimated: CAD inertia scaled by mass ratio,motor_parameters.json: user parameter image
Left_hip_yaw-1/WMD1005-1,left_hip_yaw_link,0.010466330426084794,0.010466330426084794,1020.0,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Right_hip_yaw-1/Motor_HTDW3532-1,right_hip_yaw_link,0.15,0.11414916694039093,2700.0,"['6061 合金', 'solidworks materials']",True,False,1.314070036782051,CAD,estimated: CAD inertia scaled by mass ratio,motor_parameters.json: user parameter image
Right_hip_yaw-1/WMD1005-1,right_hip_yaw_link,0.010466330426084794,0.010466330426084794,1020.0,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Left_hip_roll-1,left_hip_roll_link,0.024550028562929826,0.024550028562929826,1020.0,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Right_hip_roll-1,right_hip_roll_link,0.024550028563035134,0.024550028563035134,1020.0,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Left_hip_pitch-1/WMD1007-1,left_hip_pitch_link,0.011245589395471869,0.011245589395471869,1020.0000000000001,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Left_hip_pitch-1/Motor_HTDW3532-1,left_hip_pitch_link,0.15,0.11414916694039093,2700.0,"['6061 合金', 'solidworks materials']",True,False,1.314070036782051,CAD,estimated: CAD inertia scaled by mass ratio,motor_parameters.json: user parameter image
Left_hip_pitch-1/Motor_HTDW3532-2,left_hip_pitch_link,0.15,0.11414916694039093,2700.0,"['6061 合金', 'solidworks materials']",True,False,1.314070036782051,CAD,estimated: CAD inertia scaled by mass ratio,motor_parameters.json: user parameter image
Left_hip_pitch-1/WMD1008-1,left_hip_pitch_link,0.016132138578650264,0.016132138578650264,1019.9999999999999,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Rightt_hip_pitch-1/Motor_HTDW3532-1,right_hip_pitch_link,0.15,0.11414916694039093,2700.0,"['6061 合金', 'solidworks materials']",True,False,1.314070036782051,CAD,estimated: CAD inertia scaled by mass ratio,motor_parameters.json: user parameter image
Rightt_hip_pitch-1/Motor_HTDW3532-2,right_hip_pitch_link,0.15,0.11414916694039093,2700.0,"['6061 合金', 'solidworks materials']",True,False,1.314070036782051,CAD,estimated: CAD inertia scaled by mass ratio,motor_parameters.json: user parameter image
Rightt_hip_pitch-1/WMD1008-1,right_hip_pitch_link,0.016132138578650264,0.016132138578650264,1019.9999999999999,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Rightt_hip_pitch-1/WMD1007-1,right_hip_pitch_link,0.011245589395471869,0.011245589395471869,1020.0000000000001,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Left_knee-1,left_knee_link,0.02108161159428854,0.02108161159428854,1020.0,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
Right_knee-1,right_knee_link,0.021081611594288615,0.021081611594288615,1020.0,"['ABS', 'solidworks materials']",False,False,1.0,CAD,CAD,CAD
