joint,lower_deg,upper_deg,lower_rad,upper_rad,lower_basis,lower_contact_pair,lower_collision_bracket_deg,upper_basis,upper_contact_pair,upper_collision_bracket_deg
left_hip_yaw,-99.0,30.5,-1.7278759594743862,0.5323254218582705,sampled CAD interference,Left_hip_roll-1 | Right_hip_yaw-1/WMD1005-1,"[-101.09375, -101.171875]",sampled CAD interference,Body-1/Battery_6s18650_24V-1 | Left_hip_pitch-1/WMD1007-1,"[32.578125, 32.65625]"
right_hip_yaw,-30.5,99.0,-0.5323254218582705,1.7278759594743862,sampled CAD interference,Rightt_hip_pitch-1/WMD1007-1 | Body-1/Battery_6s18650_24V-1,"[-32.578125, -32.65625]",sampled CAD interference,Right_hip_roll-1 | Left_hip_yaw-1/WMD1005-1,"[101.09375, 101.171875]"
left_hip_roll,-63.9,24.7,-1.1152653920243765,0.4310963252425994,sampled CAD interference,Left_ankle-1/Left_feet-1 | Right_knee-1,"[-65.9375, -66.015625]",sampled CAD interference,Body-1/Body_Frame-2 | Left_hip_roll-1,"[26.71875, 26.796875]"
right_hip_roll,-24.7,63.9,-0.4310963252425994,1.1152653920243765,sampled CAD interference,Body-1/Body_Frame-2 | Right_hip_roll-1,"[-26.71875, -26.796875]",sampled CAD interference,Right_ankle-1/Right_feet-1 | Left_knee-1,"[65.9375, 66.015625]"
left_hip_pitch,-64.8,160.7,-1.1309733552923256,2.8047441079548876,sampled CAD interference,Left_hip_roll-1 | Left_knee-1,"[-66.875, -66.953125]",sampled CAD interference,Left_hip_roll-1 | Left_knee-1,"[162.734375, 162.8125]"
right_hip_pitch,-64.8,160.7,-1.1309733552923256,2.8047441079548876,sampled CAD interference,Right_hip_roll-1 | Right_knee-1,"[-66.875, -66.953125]",sampled CAD interference,Right_hip_roll-1 | Right_knee-1,"[162.734375, 162.8125]"
left_knee,-32.9,178.0,-0.5742133239061344,3.1066860685499065,sampled CAD interference,Left_hip_pitch-1/WMD1008-1 | Left_ankle-1/Left_feet-1,"[-34.921875, -35.0]",software search cap,,
right_knee,-32.9,178.0,-0.5742133239061344,3.1066860685499065,sampled CAD interference,Rightt_hip_pitch-1/WMD1008-1 | Right_ankle-1/Right_feet-1,"[-34.921875, -35.0]",software search cap,,
left_ankle,-101.1,56.4,-1.764527873766267,0.9843656981248018,sampled CAD interference,Left_hip_pitch-1/WMD1007-1 | Left_ankle-1/Left_feet-1,"[-103.125, -103.203125]",sampled CAD interference,Left_hip_pitch-1/WMD1007-1 | Left_ankle-1/Left_feet-1,"[58.4375, 58.515625]"
right_ankle,-101.1,56.4,-1.764527873766267,0.9843656981248018,sampled CAD interference,Rightt_hip_pitch-1/WMD1007-1 | Right_ankle-1/Right_feet-1,"[-103.125, -103.203125]",sampled CAD interference,Rightt_hip_pitch-1/WMD1007-1 | Right_ankle-1/Right_feet-1,"[58.4375, 58.515625]"
neck_pitch,-35.1,128.5,-0.6126105674500097,2.2427480888127134,sampled CAD interference,Body-1/Battery_6s18650_24V-1 | Neck_pitch-1/WMD1012-1,"[-37.1875, -37.265625]",sampled CAD interference,Left_hip_roll-1 | Mouth-1,"[130.546875, 130.625]"
head_pitch,-64.6,69.2,-1.1274826967883367,1.2077678423800762,sampled CAD interference,Body-1/Battery_6s18650_24V-1 | Head_roll-1/Motor_HTDW3532-1,"[-66.640625, -66.71875]",sampled CAD interference,Neck_pitch-1/WMD1012-1 | Head_pitch-1,"[71.25, 71.328125]"
head_yaw,-178.0,178.0,-3.1066860685499065,3.1066860685499065,software search cap,,,software search cap,,
head_roll,-71.9,75.7,-1.254891732183923,1.3212142437597074,sampled CAD interference,Head_pitch-1 | Head_roll-1/Head-1,"[-73.90625, -73.984375]",sampled CAD interference,Head_pitch-1 | Head_roll-1/Head-1,"[77.734375, 77.8125]"
mouth,0.0,102.5,0.0,1.7889624832941877,CAD closed zero retained,Head_roll-1/Head-1 | Mouth-1,"[-0.859375, -0.9375]",sampled CAD interference,Neck_pitch-1/WMD1012-1 | Mouth-1,"[104.53125, 104.609375]"
