# Wamoduck reference quasi-static gait / 参考准静态步态 | units: q in rad, tau in N.m, position in m | step_len=0.01 m, step_time=1.0 s, speed=0.01 m/s, foot_lift=0.0045 m, swing_window=0.3, stance_width=0.165 m | kinematic IK plan, not a trained policy and not hardware data
t_s,q_left_hip_yaw,q_left_hip_roll,q_left_hip_pitch,q_left_knee,q_left_ankle,q_right_hip_yaw,q_right_hip_roll,q_right_hip_pitch,q_right_knee,q_right_ankle,q_neck_pitch,q_head_pitch,q_head_yaw,q_head_roll,q_mouth,tau_left_hip_yaw,tau_left_hip_roll,tau_left_hip_pitch,tau_left_knee,tau_left_ankle,tau_right_hip_yaw,tau_right_hip_roll,tau_right_hip_pitch,tau_right_knee,tau_right_ankle,tau_neck_pitch,tau_head_pitch,tau_head_yaw,tau_head_roll,tau_mouth,base_x,base_y,base_z,base_roll_rad
4.000000,0.056860,-0.024804,0.186005,-0.353142,0.168423,-0.165266,0.018816,0.243738,-0.348046,0.107288,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.328295,0.125676,-0.979128,1.824927,-0.853420,0.878415,-0.086565,-1.237126,1.721153,-0.498696,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.020000,-0.000000,0.169618,0.000000
4.020000,0.059150,-0.024818,0.187339,-0.353454,0.167459,-0.167439,0.018513,0.244392,-0.347283,0.105862,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.333418,0.125898,-0.990535,1.842402,-0.859605,0.888907,-0.084897,-1.240299,1.716772,-0.491040,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.020200,-0.000000,0.169618,0.000000
4.040000,0.061438,-0.024826,0.188661,-0.353746,0.166484,-0.169553,0.018202,0.244854,-0.346173,0.104281,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.337006,0.126083,-1.001988,1.860350,-0.866222,0.899109,-0.083188,-1.242501,1.710655,-0.482602,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.020400,-0.000000,0.169618,0.000000
4.060000,0.063724,-0.024827,0.189971,-0.354017,0.165501,-0.171721,0.017887,0.245483,-0.345375,0.102840,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.339769,0.126200,-1.012158,1.877599,-0.873395,0.909584,-0.081461,-1.245537,1.706088,-0.474871,0.000000,0.000000,0.000000,0.000000,0.000000,0.020600,-0.000000,0.169618,0.000000
4.080000,0.066007,-0.024821,0.191269,-0.354268,0.164509,-0.173694,0.017563,0.246279,-0.344557,0.101206,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.341840,0.126189,-1.020651,1.893513,-0.880837,0.919083,-0.079689,-1.249402,1.701417,-0.466172,-0.000000,0.000000,0.000000,0.000000,0.000000,0.020800,-0.000000,0.169618,0.000000
4.100000,0.068288,-0.024809,0.192556,-0.354499,0.163507,-0.175598,0.017232,0.247122,-0.343716,0.099500,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.343104,0.126044,-1.027331,1.907487,-0.888127,0.928238,-0.077885,-1.253498,1.696634,-0.457112,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.021000,-0.000000,0.169618,0.000000
4.120000,0.070219,-0.024823,0.194342,-0.356291,0.163559,-0.177500,0.016895,0.247947,-0.342852,0.097785,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.341849,0.125889,-1.034223,1.926399,-0.900076,0.937383,-0.076054,-1.257508,1.691731,-0.448007,0.000000,0.000000,0.000000,-0.000000,0.000000,0.021200,-0.000000,0.169618,0.000000
4.140000,0.071444,-0.024896,0.197112,-0.361162,0.165688,-0.179400,0.016554,0.248756,-0.341964,0.096061,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.336586,0.125888,-1.043430,1.957439,-0.921737,0.946519,-0.074196,-1.261432,1.686711,-0.438859,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.021400,-0.000000,0.169618,0.000000
4.160000,0.071944,-0.025091,0.201004,-0.369287,0.170018,-0.181298,0.016206,0.249548,-0.341052,0.094328,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.327193,0.126320,-1.055621,2.001049,-0.953320,0.955645,-0.072312,-1.265269,1.681572,-0.429666,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.021600,-0.000000,0.169618,0.000000
4.180000,0.071621,-0.025282,0.205338,-0.379407,0.175803,-0.183194,0.015853,0.250324,-0.340117,0.092586,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.312827,0.126522,-1.067832,2.050680,-0.990409,0.964833,-0.070402,-1.268952,1.676314,-0.420498,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.021800,-0.000000,0.169618,0.000000
