# Wamoduck reference quasi-static gait / 参考准静态步态 | units: q in rad, tau in N.m, position in m | step_len=0.01 m, step_time=1.0 s, speed=0.01 m/s, foot_lift=0.0045 m, swing_window=0.3, stance_width=0.165 m | kinematic IK plan, not a trained policy and not hardware data
t_s,q_left_hip_yaw,q_left_hip_roll,q_left_hip_pitch,q_left_knee,q_left_ankle,q_right_hip_yaw,q_right_hip_roll,q_right_hip_pitch,q_right_knee,q_right_ankle,q_neck_pitch,q_head_pitch,q_head_yaw,q_head_roll,q_mouth,tau_left_hip_yaw,tau_left_hip_roll,tau_left_hip_pitch,tau_left_knee,tau_left_ankle,tau_right_hip_yaw,tau_right_hip_roll,tau_right_hip_pitch,tau_right_knee,tau_right_ankle,tau_neck_pitch,tau_head_pitch,tau_head_yaw,tau_head_roll,tau_mouth,base_x,base_y,base_z,base_roll_rad
0.000000,0.000319,0.000069,0.001031,-0.001897,0.000708,-0.000467,-0.000050,0.001812,-0.003294,0.001354,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.003398,0.000555,-0.013613,0.024680,-0.010290,0.004221,-0.000675,-0.017753,0.032099,-0.013661,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.177616,0.000000
0.100000,0.000638,-0.000106,0.002476,-0.004499,0.001848,-0.000846,0.000146,0.003588,-0.006486,0.002770,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.006630,0.002233,-0.028519,0.051474,-0.022113,0.007762,-0.002506,-0.034415,0.062018,-0.026949,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.177547,0.000000
0.200000,0.001573,-0.000578,0.006976,-0.012572,0.005469,-0.001787,0.000610,0.007943,-0.014314,0.006226,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.013642,0.005761,-0.061977,0.111496,-0.048949,0.014817,-0.006057,-0.067269,0.121022,-0.053051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.177382,0.000000
0.300000,0.003032,-0.001279,0.013775,-0.024783,0.010880,-0.003256,0.001354,0.014830,-0.026677,0.011710,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.023481,0.010473,-0.107679,0.193530,-0.085244,0.024653,-0.011048,-0.113170,0.203380,-0.089500,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.177123,0.000000
0.400000,0.004950,-0.002235,0.022775,-0.040925,0.018049,-0.005186,0.002365,0.023929,-0.042990,0.018956,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.035225,0.016414,-0.162717,0.292159,-0.129011,0.036473,-0.017369,-0.169007,0.303384,-0.133945,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.176779,0.000000
0.500000,0.007316,-0.003382,0.033672,-0.060464,0.026660,-0.007567,0.003578,0.034932,-0.062713,0.027645,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.048995,0.023195,-0.226001,0.405541,-0.178964,0.050340,-0.024532,-0.232867,0.417770,-0.184321,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,0.000000,0.176356,0.000000
0.600000,0.009983,-0.004783,0.046228,-0.082920,0.036633,-0.010252,0.005057,0.047614,-0.085386,0.037714,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.063915,0.031130,-0.295874,0.530401,-0.234353,0.065347,-0.032938,-0.303584,0.544054,-0.240364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.175866,0.000000
0.700000,0.012976,-0.006320,0.059996,-0.107546,0.047500,-0.013270,0.006681,0.061505,-0.110230,0.048676,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080100,0.039645,-0.370197,0.663195,-0.292988,0.081668,-0.041898,-0.378443,0.677801,-0.299370,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.175321,0.000000
0.800000,0.016193,-0.007996,0.074649,-0.133739,0.059048,-0.016502,0.008501,0.076548,-0.137072,0.060573,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.096984,0.048590,-0.447053,0.800295,-0.353239,0.098825,-0.051632,-0.457252,0.818418,-0.361688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.174734,0.000000
0.900000,0.019514,-0.009832,0.089955,-0.161036,0.071153,-0.019843,0.010389,0.091777,-0.164237,0.072540,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.116905,0.058366,-0.522915,0.939921,-0.417773,0.119045,-0.061677,-0.532453,0.957213,-0.425605,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.174119,0.000000
